Time,PositionState,SickingState,x,y,z,CauseOfDeath,sickNumber,immunedNb,deadNb,,,,SickingState,Infected Count,Dead count,,Infected at Home,Infected is moving,Infected not moving,Infected Returning Home
42.32233,AtHome,Infected,-48.31294,0.5,-2.94651,None,1,0,0,,,,Infected,1,0,,1,0,0,0
42.32233,AtHome,Infected,29.35956,0.5,71.65759,None,2,0,0,,,,Infected,2,0,,2,0,0,0
42.32233,AtHome,Infected,-107.6631,0.5,-36.92879,None,3,0,0,,,,Infected,3,0,,3,0,0,0
42.32233,AtHome,Infected,113.5692,0.5,-0.7590179,None,4,0,0,,,,Infected,4,0,,4,0,0,0
42.32233,AtHome,Infected,-57.76332,0.5,121.3546,None,5,0,0,,,,Infected,5,0,,5,0,0,0
42.32233,AtHome,Infected,-113.9466,0.5,119.101,None,6,0,0,,,,Infected,6,0,,6,0,0,0
42.32233,AtHome,Infected,69.54863,0.5,112.6461,None,7,0,0,,,,Infected,7,0,,7,0,0,0
42.32233,AtHome,Infected,-1.623558,0.5,110.4075,None,8,0,0,,,,Infected,8,0,,8,0,0,0
42.32233,AtHome,Infected,-106.066,0.5,119.0902,None,9,0,0,,,,Infected,9,0,,9,0,0,0
42.32233,AtHome,Infected,5.141811,0.5,-108.6836,None,10,0,0,,,,Infected,10,0,,10,0,0,0
42.32233,AtHome,Infected,0.6730118,0.5,110.5365,None,11,0,0,,,,Infected,11,0,,11,0,0,0
42.32233,AtHome,Infected,-92.86833,0.5,-18.38346,None,12,0,0,,,,Infected,12,0,,12,0,0,0
42.32233,AtHome,Infected,3.808456,0.5,13.73323,None,13,0,0,,,,Infected,13,0,,13,0,0,0
42.32233,AtHome,Infected,-80.30063,0.5,-118.2271,None,14,0,0,,,,Infected,14,0,,14,0,0,0
42.32233,AtHome,Infected,-112.0604,0.5,39.86322,None,15,0,0,,,,Infected,15,0,,15,0,0,0
42.32233,AtHome,Infected,37.41011,0.5,44.0959,None,16,0,0,,,,Infected,16,0,,16,0,0,0
42.32233,AtHome,Infected,-78.00558,0.5,-124.1522,None,17,0,0,,,,Infected,17,0,,17,0,0,0
42.32233,AtHome,Infected,60.32451,0.5,-20.7655,None,18,0,0,,,,Infected,18,0,,18,0,0,0
42.32233,AtHome,Infected,23.5336,0.5,64.64702,None,19,0,0,,,,Infected,19,0,,19,0,0,0
42.32233,AtHome,Infected,-1.138847,0.5,-92.37751,None,20,0,0,,,,Infected,20,0,,20,0,0,0
42.32233,AtHome,Infected,-113.6388,0.5,-33.72826,None,21,0,0,,,,Infected,21,0,,21,0,0,0
